portfolio_company,initial_acquisition_date,geographic_region,fair_value,asset_class,principal_amount,shares_units,industry,part,table_index,row_index,cost
"Term Loan, USD 13.75%, 4/05/2031",4/5/2024,North America,7508641,,7561743,,Credit Co-Investments — 2.1%,ea0264559-01_ncsrs,15,20,7519056
"Delayed Draw, USD 13.75%, 4/05/2031",4/5/2024,North America,4123177,,4152337,,Credit Co-Investments — 2.1%,ea0264559-01_ncsrs,15,21,4128325
"Term Loan, USD 12.75%, 4/05/2031",9/19/2025,North America,4260618,,4349091,,Credit Co-Investments — 2.1%,ea0264559-01_ncsrs,15,22,4262372
"Delayed Draw, USD 12.75%, 4/05/2031",9/19/2025,North America,833599,,850909,,Credit Co-Investments — 2.1%,ea0264559-01_ncsrs,15,23,833973
Gramercy PG Holdings II LP,8/20/2024,Europe,10953780,,,,Credit Co-Investments — 2.1%,ea0264559-01_ncsrs,15,24,9500000
"Nader Upside 2 Sarl, EUR PIK Term Loan, 3 mo. EURIBOR+10.25%, 12.61% EUR, 3/13/28",3/14/2024,Europe,6424011,,5548541,,Credit Co-Investments — 2.1%,ea0264559-01_ncsrs,15,25,6004819
"Symbiotic Capital EB Fund, L.P.",3/7/2024,North America,5744363,,,,Credit Co-Investments — 2.1%,ea0264559-01_ncsrs,15,26,5061912
Dawson Partners Portflio Finance Evergreen (Aggregator) Blocker LP,8/25/2025,North America,110925,,,,Private Equity — 0.0%,ea0264559-01_ncsrs,15,30,100
Cliffwater Corporate Lending Fund — Class I,,,101412429,,,9416196,Registered Funds — 2.4%,ea0264559-01_ncsrs,15,33,100000000
"State Street Institutional U.S. Government Money Market Fund, 4.09%",,,309167360,,,309167360,Short-Term Investments — 7.3%,ea0264559-01_ncsrs,17,2,309167360
"Bertram Growth Capital IV-A, L.P.",1/7/2022,North America,4963620,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,2,1238736
BlackRock Secondaries & Liquidity Solutions II (Lux) SCSp,12/27/2024,North America,61789798,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,3,46000000
"BPOC Fund VI-A, L.P.",6/6/2025,North America,7742836,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,4,6324758
Dawson Portfolio Finance Evergreen LP,5/28/2024,North America,81968442,,,68333,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,5,70000000
"DFJ Growth V, L.P.",11/27/2024,North America,3683889,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,6,2475000
Envoy Fund I LP,8/29/2025,North America,4060039,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,7,2753758
"Geigel Hill, LP",3/11/2026,North America,46314297,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,8,46314297
"Glouston Private Equity Opportunities VII FTE, L.P.",4/15/2024,North America,29702773,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,9,23705000
"Gryphon Partners VI-A, L.P.",1/7/2022,North America,7701235,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,10,6912709
"Haveli Investments Software Fund I Cayman, L.P.",4/28/2025,North America,11830075,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,11,10114262
"Headlands Capital Offshore IV, LP",4/18/2024,North America,42826309,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,12,26715838
ICG LP Secondaries Fund I (Feeder) SCSp,4/12/2024,North America,5185050,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,13,3615969
"JFL Equity Investors VI, L.P.",11/13/2024,North America,12864248,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,14,9055952
"Juxtapose Ventures III, L.P.",12/3/2024,North America,442571,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,15,730088
"Khosla Ventures Opportunity III, L.P.",9/23/2025,North America,1473604,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,16,1500000
"Kohlberg Investors X, LP",9/27/2024,North America,2442204,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,17,2164500
"Levine Leichtman Capital Partners VII-A, L.P.",12/11/2024,North America,848860,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,18,870372
"Liquid 2 Winners Fund I, L.P.",2/3/2025,North America,5120437,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,19,4625000
"MC Brazil Special Opportunities Fund III, LP",2/26/2026,South America,7548601,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,20,5436335
MCP Opportunity Secondary Program VI (USD) Feeder SCSp,5/14/2025,Europe,1169710,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,21,893805
"NewView Capital Special Opportunities Fund III, L.P.",6/12/2024,North America,43255411,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,22,29633467
"OceanSound Partners Fund, LP",1/7/2022,North America,9979816,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,23,6284226
Overbay 2025 Fund (International) LP,8/29/2025,North America,27233635,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,24,22050000
Overbay Capital Partners 2024 Fund US LP,12/30/2024,North America,11129782,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,25,8890086
"Pathway Select Fund, LP — 2025",3/26/2025,North America,276914226,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,26,262593295
"Pathway Select Fund, LP — Series A",3/28/2024,North America,581325421,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,27,486791324
Patria Acropolis LP,12/18/2024,Europe,7633197,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,28,6213124
Patria SOF V Feeder SCSp,10/31/2025,Europe,1621651,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,29,1551617
"PSC V (B), SCSp",8/7/2025,Europe,8445853,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,30,7477581
"Sage Equity Investors Side, L.P.",6/16/2025,North America,2915678,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,31,2185321
"SAS Vehicle, L.P.",12/30/2024,North America,36184198,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,32,31206568
SPDW Partners LP,2/5/2025,North America,13493010,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,33,8445097
"TA XV-B, L.P.",2/10/2025,North America,588200,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,34,640000
"TPG GP Solutions (B), L.P.",10/28/2024,North America,13206623,,,,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,35,10429136
"A&M Capital Partners, LP",9/30/2024,North America,1126300,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,1,38,1149988
"ABRY Partners VII, LP",1/1/2026,North America,2195503,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,1,39,1387940
"ABRY Senior Equity IV, L.P.",9/30/2024,North America,444148,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,1,40,370695
"ACON Equity Partners 3.5, L.P.",10/1/2024,North America,2623915,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,1,41,2683411
"AE Industrial Partners Extended Value Fund, LP",1/7/2022,North America,334265,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,1,42,811551
"Alpine Investors VI, LP",1/1/2026,North America,25247822,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,2,22708250
"APH Extended Value Fund H, L.P.",1/30/2025,North America,40669307,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,3,34834676
"Apse Capital II, L.P.",10/28/2024,Europe,63429438,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,4,43981896
Atlas Capital Resources II LP,9/30/2024,North America,7953313,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,5,3039538
"Avenir Growth Partners II, L.P.",6/30/2025,North America,7203421,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,6,4728785
"Avenir Growth Partners III, L.P.",6/30/2025,North America,10003482,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,7,8158554
"Avenir Growth Partners IV, L.P.",6/30/2025,North America,31702609,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,8,20188799
"Avenir Growth Partners V, L.P.",6/30/2025,North America,19609258,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,9,15575923
"Banneker CV, L.P.",1/21/2025,North America,40900469,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,10,33304600
BC Partners Galileo (1) L.P. — Class 1,1/7/2022,Europe,4886209,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,11,3766751
BC Partners Galileo (1) L.P. — Class 2,1/7/2022,Europe,247253,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,12,181195
"Beecken Petty O’Keefe Fund IV, L.P.",9/30/2024,North America,199896,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,13,103835
"Blue Point Capital Partners III (A), L.P.",7/1/2025,North America,2360387,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,14,410819
"Blue Point Capital Partners IV (A), L.P.",7/1/2025,North America,13436324,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,15,14934220
Blue Sea Capital Fund I LP,9/30/2024,Europe,123266,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,16,129884
"Blue Wolf Capital Fund III, L.P.",9/30/2024,North America,11464096,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,17,8322403
"Brentwood Associates Opportunities Fund II-A, L.P.",7/18/2025,North America,45802524,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,18,34978087
BSP Pioneer Investors Feeder L.P.,9/29/2025,North America,41624789,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,19,37151676
"CapStreet IV, L.P.",9/30/2024,North America,2269773,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,20,4781483
"Carousel Capital Apex Rollover Partners, L.P.",9/30/2024,North America,2247404,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,21,1509204
"Carousel Capital Partners IV, L.P.",9/30/2024,North America,1146028,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,22,1754580
"Carrick Capital Partners, L.P.",9/30/2024,North America,1552067,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,23,1960094
"Catterton Growth Partners II, L.P.",9/30/2024,North America,12481532,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,24,13952005
"Centre Capital Investors VI, L.P.",9/30/2024,North America,3971097,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,25,4598753
"Centre Lane Partners III, L.P.",9/30/2024,North America,14253810,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,26,18135687
"Churchill Secondary Partners II (Blocker), LLC",6/26/2025,North America,28808101,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,27,24965178
"CPF Midway Fund-A, L.P.",3/19/2025,North America,18718174,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,28,14573530
"DFJ Growth 2006 Continuation, L.P.",11/1/2024,North America,85503573,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,29,22418653
"EDG Partners Fund II, L.P.",9/30/2024,North America,850513,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,30,632105
Edgewater Capital Partners III LP,9/30/2024,North America,495858,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,31,2488995
Envoy BDMI SPV LLC,6/3/2025,North America,30910180,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,32,21175207
EOS VP II FP LP,4/29/2025,North America,1269483,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,33,705932
EVP II LP,4/29/2025,North America,10022003,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,34,5647456
FB HA Holdings LP,1/7/2022,North America,4364645,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,35,390623
"Founders Circle Capital Co-Invest Series, L.P. — Series 8",5/24/2024,North America,19370825,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,36,15000000
"GA Continuity Fund II, L.P.",3/14/2025,North America,56901386,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,37,45585915
"Glouston Private Equity Opportunities VII(a), L.P.",5/29/2024,North America,16327585,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,38,15688324
"Gores Small Capitalization Partners, L.P.",9/30/2024,North America,17467,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,39,
"Great Hill Equity Partners V, L.P.",9/30/2025,North America,14971032,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,40,15244779
"Great Hill Equity Partners VI, L.P.",9/30/2025,North America,24778197,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,41,26586567
"Great Hill Equity Partners VII, L.P.",9/30/2025,North America,17100174,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,42,17884878
"Great Hill Equity Partners VIII, L.P.",9/30/2025,North America,14559061,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,43,15754698
"Green Equity Investors CF IV J, L.P.",5/29/2025,North America,1145187,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,2,1309674
"Green Equity Investors CF IV-C, L.P.",4/15/2025,North America,10785559,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,3,10580187
"Gridiron Capital Fund II, L.P.",9/30/2024,North America,254844,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,4,1581243
"Gryphon Partners 3.5, L.P.",9/30/2024,North America,71550,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,5,90199
GTCR Fund XIV/A&B LP,12/31/2025,North America,6561136,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,6,6022730
GTCR Strategic Growth Fund I/A&B LP,12/31/2025,North America,6192416,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,7,6083339
"Harvest Partners VI, L.P.",9/30/2024,North America,503779,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,8,1957331
"HCI Equity Partners IV, L.P.",9/30/2024,North America,5532141,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,9,8683847
"Health Velocity Capital II, L.P.",12/31/2025,North America,11258588,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,10,8898068
"Hellman & Friedman Capital Partners X, L.P.",3/31/2025,North America,65727178,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,11,62460165
"HGC 2025, L.P.",4/10/2025,North America,7058508,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,12,5436736
"Housatonic Equity Investors V, L.P.",9/30/2024,North America,3256260,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,13,3355426
"HPS KP Mezz 2019 Co-Invest, L.P.",4/1/2024,North America,52083003,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,14,37190448
"HPS KP SIP V Co-Investment Fund, L.P.",4/1/2024,North America,21117177,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,15,13065632
"HPS Offshore Mezzanine Partners 2019, LP",4/1/2024,North America,24851989,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,16,20906440
"HPS Offshore Strategic Investment Partners V, L.P.",4/1/2024,North America,29142413,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,17,24443685
ICG Ludgate Hill (Feeder) V-A Charger SCSp,3/22/2024,North America,13865465,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,18,10714868
"Icon Partners V, L.P.",1/7/2022,North America,10544993,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,19,8010026
"Incline Equity Partners III, L.P.",10/1/2024,North America,23157,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,20,12165
"JFL-NG Continuation Fund, L.P.",1/7/2022,North America,16211544,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,21,8040205
"JLL Partners Fund VIII Secondary (SV), L.P.",2/26/2025,Europe,21627190,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,22,17646592
"JMI Equity Fund IX-B, L.P.",12/31/2025,North America,25019204,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,23,25060156
"KarpReilly Capital Partners II, L.P.",9/30/2024,North America,8949678,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,24,7486099
LGP Sage PC Coinvest LP,11/20/2024,North America,22361849,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,25,14628014
"Lightspeed Ascent Fund, L.P.",11/18/2024,North America,12493155,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,26,9350000
"Liquid 2 Ventures Fund II, L.P.",12/31/2024,North America,13368574,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,27,7429552
LLCP LMM Acquisition Fund L.P.,11/20/2024,North America,8622291,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,28,7391354
"LLR Equity Partners IV, L.P.",9/30/2024,North America,2487168,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,29,1022910
"Mainsail Partners III, L.P.",9/30/2024,North America,4015269,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,30,5878779
"Marilyn Co-Invest, L.P.",4/1/2024,North America,44759293,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,31,32439003
"Marlin Equity III, L.P.",10/1/2024,North America,66754,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,32,67226
MCP Continuation Fund II Coöperatief U.A.,9/24/2025,Europe,30712822,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,33,30725597
Meridian Private Equity Select Co-Invest I SCSp,3/28/2025,North America,5998924,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,34,5509135
Meridian Private Equity Select Partnerships I SCSp,3/28/2025,North America,11159395,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,35,8797170
"MetLife Investment Private Equity Partners II (Feeder), L.P.",6/28/2024,North America,39382767,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,36,33124286
"Mezzanine Partners III, L.P.",9/30/2024,North America,4236916,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,37,4068281
MidOcean Partners V L.P.,9/30/2025,North America,20737886,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,38,18794000
MidOcean Partners VI L.P.,9/30/2025,North America,11314997,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,39,10192731
"Milano Co-Invest, L.P.",4/1/2024,North America,4000981,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,40,4018599
"Minerva Co-Invest, L.P.",4/1/2024,North America,12789283,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,41,8463661
Montagu+ SCSp,1/7/2022,Europe,2226284,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,2,1763686
"NEA Secondary Opportunity Fund, L.P.",7/10/2024,North America,49358514,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,3,22979606
"Novacap International TMT IV, L.P.",9/30/2024,North America,1873614,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,4,11871979
"NSH Verisma Holdco, L.P.",1/7/2022,North America,11372408,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,5,5515834
"Odyssey Investment Partners Fund V, LP",9/30/2024,North America,18009117,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,6,14250992
"Odyssey Investment Partners Fund VI-A, LP",10/1/2025,North America,108878210,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,7,127794621
"OFS Energy Fund III (Q), L.P.",9/30/2024,North America,408576,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,8,783492
"One Equity Partners VII-A, L.P.",6/30/2025,North America,18336700,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,9,17088456
"One Equity Partners VIII-A, L.P.",6/30/2025,North America,28674541,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,10,28253514
"Outlander I Archimedes, LP",12/31/2024,North America,1251976,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,11,775354
Overbay Capital Partners 2023 Fund Aggregator (AIV V) LP,12/23/2024,Europe,5775529,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,12,4165245
Overbay Capital Partners 2024 Fund Aggregator (AIV IV) LP,12/30/2024,North America,4446881,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,13,3893538
Overbay Capital Partners 2024 Fund Aggregator (AIV IX) LP,8/29/2025,North America,67777255,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,14,43464559
Overbay Capital Partners 2024 Fund Aggregator (AIV VI) Glencoe Investor II LP,5/22/2025,North America,40175189,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,15,29050000
"Palladium Equity Partners IV, L.P.",10/1/2024,North America,2156699,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,16,1680847
"ParkerGale Capital II, LP",3/31/2025,North America,26164627,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,17,21823855
Percheron Horsepower-A LP,9/22/2025,North America,27263649,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,18,20882778
PG Source Investment LLC,3/31/2025,North America,13370535,,,5007,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,19,9274616
"Platte River Equity III, L.P.",9/30/2024,North America,,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,20,456897
PMH II SPV Bellflower LP,2/28/2025,North America,6204363,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,21,4691566
PMH II SPV Sunflower (Cayman) LP,10/24/2025,North America,58963499,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,22,36291718
Pontifax Global Food and Agriculture Technology Fund L.P.,12/31/2024,North America,1670552,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,23,1929735
"Quad Partners IV, L.P.",9/30/2024,North America,986666,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,24,1588246
"Riverside Fund V SQ-A, L.P.",9/30/2024,North America,5214572,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,25,4146825
"Riverside Micro-Cap Fund V, L.P.",9/30/2025,North America,6244924,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,26,3534718
"Riverside Micro-Cap Fund V-A, L.P.",9/30/2025,North America,13899982,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,27,7867591
"Riverside Micro-Cap Fund VI, L.P.",9/30/2025,North America,3002715,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,28,2690209
"Riverside Micro-Cap Fund VI-A, L.P.",9/30/2025,North America,6084259,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,29,5461889
"RoundTable Healthcare Partners III, L.P.",9/30/2024,North America,13852669,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,30,13005425
"RSK Topco, LP",3/17/2025,North America,27052733,,,19667377,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,31,19703397
"SG Coinvest — C, L.P.",12/24/2025,North America,15384193,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,32,12767251
"Shamrock Capital Growth Fund III, L.P.",9/30/2024,North America,3210362,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,33,2689014
"ShoreView Capital Partners III, LP.",9/30/2024,North America,8308666,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,34,11485169
"SK Capital Partners III, L.P.",9/30/2024,North America,2546839,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,35,6381423
"SkyKnight Capital II CV B, L.P.",10/30/2024,North America,17019667,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,36,14482093
SkyKnight TG Holdings LP,8/1/2025,North America,1366995,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,37,1373591
"SPC Partners V, L.P.",9/30/2024,North America,2598173,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,38,2588770
"Stork SPV, LP",1/7/2022,North America,2908476,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,39,1538500
"TA XIV-A, L.P.",3/31/2025,North America,72915523,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,40,70607781
"The Veritas Capital Fund VIII, L.P.",3/31/2025,North America,59051134,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,41,54372709
TPG Atlas Partners L.P.,11/12/2025,North America,5787162,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,7,42,5000000
"Trinity Hunt Partners IV, L.P.",9/30/2024,North America,5691829,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,9,2,5059277
"Trinity Ventures 2024, L.P.",12/20/2024,North America,17183861,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,9,3,18518206
Trive Capital Fund I LP,9/30/2024,North America,1228072,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,9,4,1234135
TriWest Capital Partners IV (US) LP,9/30/2024,North America,2100465,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,9,5,2471447
"TSCP CV I, L.P.",1/7/2022,North America,4969475,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,9,6,4852976
"TSCP CV II, L.P.",9/6/2024,North America,23042005,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,9,7,15360239
"Vida Ventures II, LLC",12/31/2024,North America,4205834,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,9,8,1167097
Vida Ventures LLC,12/31/2024,North America,2390013,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,9,9,532772
"Vista Foundation Fund IV, L.P.",10/1/2025,North America,13609576,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,9,10,14119836
VV Atreus Special Fund LLC,12/31/2024,North America,644767,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,9,11,557697
"Water Street Healthcare Partners III, L.P.",9/30/2024,North America,5415806,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,9,12,5618586
"Windjammer Senior Equity Fund IV, L.P.",9/30/2024,North America,2544721,,,,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,9,13,3017431
26N Nova Co-Investment Partners LP,10/16/2025,North America,65268365,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,16,60000000
26N Onelife Co-Investment Partners-A LP,10/10/2024,North America,13285728,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,17,10333333
"A2 Biotherapeutics — Series C Preferred, 6.00% PIK",12/30/2024,North America,9999999,,,13513513,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,18,9999999
"AH Parent Inc (Alliant Inc) — Class A Preferred, 10.00%",9/26/2024,North America,14722161,,,15000,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,19,14775000
